quarter,state,price_index
Unit,Residential Property Price Index ;  Sydney ;,Index Numbers
2005-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,70
2005-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,71.6
2006-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,72.2
2006-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,73.4
2006-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,73.8
2006-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,75.7
2007-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,77.2
2007-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,81.9
2007-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,86.9
2007-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,91.9
2008-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,94.9
2008-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,93.8
2008-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,94.1
2008-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,93.6
2009-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,93.2
2009-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,95.8
2009-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,97.2
2009-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,101.1
2010-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,102.8
2010-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,104.7
2010-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,103.9
2010-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,104.8
2011-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,103.3
2011-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,101
2011-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,100.4
2011-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,100.7
2012-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,99.3
2012-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,99.6
2012-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,99.2
2012-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,100.2
2013-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,99.8
2013-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,100.9
2013-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,101.3
2013-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,104.4
2014-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,105.4
2014-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,105.6
2014-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,106.1
2014-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,107.3
2015-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,108
2015-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,108.5
2015-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,109.8
2015-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,110.8
2016-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,111.4
2016-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,112.3
2016-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,113.3
2016-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,115.3
2017-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,117
2017-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,117.9
2017-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,118.7
2017-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,119.4
2018-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,120
2018-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,120.4
2018-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,121.1
2018-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,121.2
2019-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,121
2019-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,120.3
2019-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,119.9
2019-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,121.6
2020-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,122.1
2020-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,121.1
2020-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,123
2020-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,126.2
